,type,id,group_id,name,state,lat,lon,altitude,valid_from,valid_to,has_sunshine,has_global_radiation,is_active
0,COMBINED,1,,Aflenz,Steiermark,47.54594,15.24069,783.2,1983-05-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
1,COMBINED,2,,Aigen im Ennstal,Steiermark,47.53278,14.13826,641.0,1993-02-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
2,COMBINED,3,,Allentsteig,Niederösterreich,48.69083,15.36694,598.8,1992-10-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
3,COMBINED,4,,Amstetten,Niederösterreich,48.10889,14.895,266.0,1993-02-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
4,COMBINED,5,,Bad Aussee,Steiermark,47.6105,13.75844,743.1,1983-09-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,False,True
5,COMBINED,6,,Bad Bleiberg,Kärnten,46.62528,13.68444,908.7,2007-10-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
6,COMBINED,7,,Bad Gastein,Salzburg,47.11056,13.13336,1092.0,2010-01-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
7,COMBINED,8,,Bad Gleichenberg,Steiermark,46.87222,15.90361,269.0,2003-04-17T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
8,COMBINED,9,,Bad Goisern,Oberösterreich,47.62194,13.64472,538.0,1995-01-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
9,COMBINED,10,,Bad Mitterndorf,Steiermark,47.55333,13.93472,814.0,1983-11-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
10,COMBINED,11,,Bad Radkersburg,Steiermark,46.69222,15.99333,207.0,1992-08-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
11,COMBINED,12,,Baden,Niederösterreich,48.011391,16.235556,244.8,1982-12-01T00:00:00+00:00,2012-05-31T23:59:59+00:00,True,False,False
12,COMBINED,13,,Bernstein,Burgenland,47.40833,16.26139,630.8,2008-01-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
